# ----------------------------------------
# Demographic details: Country
# Account: AI TECH LABS
# Property: AI_Fusion
# ----------------------------------------
# 
# All Users
# Start date: 20260819
# End date: 20260820
Country,Date,Active users,New users,Engaged sessions,Engagement rate,Engaged sessions per active user,Average engagement time per active user,Event count,Key events,User key event rate,Total revenue
(other),20260820,34725,9009,0,0,0,30.07838732901368,387691,100772,0,404.573485
Pakistan,20260819,7074,4485,8444,0.8605788830004076,1.1936669493921401,185.193101498445,415619,90243,0.9987277353689568,112.006719
India,20260819,6768,4653,8202,0.867569282843241,1.2118794326241136,200.0429964539007,428733,100912,0.9979314420803782,160.210129
Pakistan,20260820,5996,3126,6669,0.8633009708737864,1.112241494329553,177.6069046030687,325224,68226,0.9392928619079386,87.890458
Nigeria,20260819,5939,2210,6626,0.7779734648350358,1.1156760397373295,156.81528876915306,207218,44260,0.996969186731773,170.038198
India,20260820,5458,3161,6264,0.8766969909027292,1.1476731403444485,188.9525467204104,320651,75680,0.9518138512275559,103.592828
Nigeria,20260820,4585,1566,4871,0.7860254962078425,1.0623773173391493,160.00959651035987,162804,34062,0.9201744820065431,120.992442
Brazil,20260819,4472,3387,3881,0.6461871461871462,0.8678443649373881,113.21847048300536,166898,47389,0.9993291592128801,353.554825
Brazil,20260820,3421,2324,2885,0.6540467014282476,0.8433206664717918,100.53697749196141,110692,32741,0.9543992984507454,200.254476
Nepal,20260819,2357,1625,2695,0.8563711471242453,1.1434026304624523,155.0984302078914,126170,29156,0.9957573186253712,27.274066
Vietnam,20260819,2211,2060,1416,0.5641434262948207,0.6404341926729986,20.275893260967887,27203,9494,1,30.827451
Nepal,20260820,2118,1274,2322,0.8680373831775701,1.0963172804532577,150.1317280453258,106780,24566,0.9490084985835694,22.63558
Egypt,20260819,2103,1305,1778,0.5768981181051266,0.8454588682834047,85.04469805040418,54000,13249,0.9985734664764622,19.421921
Egypt,20260820,1792,1130,1411,0.6001701403658017,0.7873883928571429,77.47042410714286,42366,10567,0.9542410714285714,15.205694
Vietnam,20260820,1678,1509,1028,0.5436277102062401,0.6126340882002383,22.259237187127532,22674,7724,0.9827175208581644,23.693034
Morocco,20260820,1248,780,1142,0.7493438320209974,0.9150641025641025,172.87820512820514,56392,13684,0.9342948717948718,21.020709
Iraq,20260820,1180,798,1134,0.7902439024390244,0.9610169491525423,165.82542372881355,57615,12887,0.9449152542372882,13.554315
Morocco,20260819,1153,878,1108,0.7232375979112271,0.9609713790112749,192.0338248048569,59583,14933,0.9991326973113617,20.191266
Indonesia,20260819,1137,958,921,0.6747252747252748,0.8100263852242744,70.5523306948109,30627,8274,0.9956024626209323,23.930334
Iraq,20260819,1126,892,1127,0.762001352265044,1.0008880994671403,186.56571936056838,62597,13464,0.9982238010657194,22.857355
Myanmar (Burma),20260819,991,954,1073,0.929004329004329,1.082744702320888,160.66498486377395,47471,8919,0.9969727547931383,18.402124
Myanmar (Burma),20260820,984,716,1052,0.9211908931698775,1.0691056910569106,130.96138211382114,38393,7606,0.9024390243902439,17.625868
Indonesia,20260820,912,704,739,0.6823638042474608,0.8103070175438597,81.99451754385964,25869,6915,0.9660087719298246,15.780791
Côte d’Ivoire,20260819,911,427,954,0.7687348912167606,1.0472008781558726,163.37102085620197,35202,7984,0.9989023051591658,22.953172
Türkiye,20260820,845,661,617,0.6487907465825447,0.7301775147928994,66.86272189349113,22595,6365,0.9656804733727811,15.842467
Uganda,20260819,807,442,984,0.8746666666666667,1.2193308550185873,183.4634448574969,34391,6749,0.9975216852540273,7.794236
United States,20260819,745,394,790,0.8195020746887967,1.0604026845637584,204.05771812080536,39436,11078,0.9812080536912752,329.711075
Uganda,20260820,713,352,827,0.9229910714285714,1.1598877980364657,180.6423562412342,29647,5890,0.8863955119214586,7.901574
Côte d’Ivoire,20260820,689,290,723,0.7910284463894968,1.0493468795355587,172.77503628447025,27054,6121,0.9100145137880987,10.711169
Kenya,20260819,668,352,754,0.816017316017316,1.1287425149700598,157.5119760479042,24865,5245,0.9970059880239521,6.238641
Papua New Guinea,20260819,658,286,725,0.8248009101251422,1.1018237082066868,148.27203647416414,20265,4028,0.9954407294832827,10.014814
Ethiopia,20260819,612,122,595,0.7117224880382775,0.9722222222222222,124.55718954248366,18175,3703,0.9967320261437909,2.999422
Colombia,20260819,600,503,437,0.5969945355191257,0.7283333333333334,59.535,12500,3696,0.9983333333333333,5.930222
Algeria,20260819,585,338,602,0.6848691695108078,1.029059829059829,174.7059829059829,26907,5485,1,3.941836
